"sub_spec","platform","baseline_weight","baseline_sig","new_weight","new_sig","new_p_value","weight_diff","sign_match"
"a2-a","amazon",-0.085,"***",0.107,"***",0,0.192,0
"a2-a","audible",-0.108,"***",0.05,"n.s.",0.061,0.158,0
"a2-a","coursera",-0.159,"***",0.027,"n.s.",0.278,0.186,0
"a2-a","hotel",0.251,"***",0.011,"n.s.",0.699,-0.24,1
"a2-b","amazon",-0.085,"***",0.11,"***",0,0.195,0
"a2-b","audible",-0.108,"***",0.088,"*",0.02,0.196,0
"a2-b","coursera",-0.159,"***",-0.021,"n.s.",0.437,0.138,1
"a2-b","hotel",0.251,"***",0.003,"n.s.",0.928,-0.248,1
"a2-c","amazon",-0.085,"***",-0.089,"***",0,-0.004,1
"a2-c","audible",-0.108,"***",-0.027,"n.s.",0.499,0.081,1
"a2-c","coursera",-0.159,"***",-0.041,"n.s.",0.16,0.118,1
"a2-c","hotel",0.251,"***",-0.068,"*",0.034,-0.319,0
